"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11779.9573385837
"72","2021",11779.9573385837
"73","2022",11779.9573385837
"74","2023",11779.9573385837
"75","2024",11779.9573385837
"76","2025",11779.9573385837
"77","2026",11779.9573385837
"78","2027",11779.9573385837
"79","2028",11779.9573385837
"80","2029",11779.9573385837
"81","2030",13304.9363035605
"82","2031",13304.9363035605
"83","2032",13304.9363035605
"84","2033",13304.9363035605
"85","2034",13304.9363035605
"86","2035",13304.9363035605
"87","2036",13304.9363035605
"88","2037",13304.9363035605
"89","2038",13304.9363035605
"90","2039",13304.9363035605
"91","2040",14549.2817219102
"92","2041",14549.2817219102
"93","2042",14549.2817219102
"94","2043",14549.2817219102
"95","2044",14549.2817219102
"96","2045",14549.2817219102
"97","2046",14549.2817219102
"98","2047",14549.2817219102
"99","2048",14549.2817219102
"100","2049",14549.2817219102
"101","2050",15656.1951719522
"102","2051",15656.1951719522
"103","2052",15656.1951719522
"104","2053",15656.1951719522
"105","2054",15656.1951719522
"106","2055",15656.1951719522
"107","2056",15656.1951719522
"108","2057",15656.1951719522
"109","2058",15656.1951719522
"110","2059",15656.1951719522
"111","2060",16670.8383134787
"112","2061",16670.8383134787
"113","2062",16670.8383134787
"114","2063",16670.8383134787
"115","2064",16670.8383134787
"116","2065",16670.8383134787
"117","2066",16670.8383134787
"118","2067",16670.8383134787
"119","2068",16670.8383134787
"120","2069",16670.8383134787
"121","2070",17666.6352553251
"122","2071",17666.6352553251
"123","2072",17666.6352553251
"124","2073",17666.6352553251
"125","2074",17666.6352553251
"126","2075",17666.6352553251
"127","2076",17666.6352553251
"128","2077",17666.6352553251
"129","2078",17666.6352553251
"130","2079",17666.6352553251
"131","2080",18633.686
"132","2081",18633.686
"133","2082",18633.686
"134","2083",18633.686
"135","2084",18633.686
"136","2085",18633.686
"137","2086",18633.686
"138","2087",18633.686
"139","2088",18633.686
"140","2089",18633.686
"141","2090",19678.6478
"142","2091",19678.6478
"143","2092",19678.6478
"144","2093",19678.6478
"145","2094",19678.6478
"146","2095",19678.6478
"147","2096",19678.6478
"148","2097",19678.6478
"149","2098",19678.6478
"150","2099",19678.6478
"151","2100",20708.4415
"152","2101",20708.4415
"153","2102",20708.4415
"154","2103",20708.4415
"155","2104",20708.4415
"156","2105",20708.4415
"157","2106",20708.4415
"158","2107",20708.4415
"159","2108",20708.4415
"160","2109",20708.4415
"161","2110",20460.2705032079
"162","2111",20460.2705032079
"163","2112",20460.2705032079
"164","2113",20460.2705032079
"165","2114",20460.2705032079
"166","2115",20460.2705032079
"167","2116",20460.2705032079
"168","2117",20460.2705032079
"169","2118",20460.2705032079
"170","2119",20460.2705032079
"171","2120",20212.0995064158
"172","2121",20212.0995064158
"173","2122",20212.0995064158
"174","2123",20212.0995064158
"175","2124",20212.0995064158
"176","2125",20212.0995064158
"177","2126",20212.0995064158
"178","2127",20212.0995064158
"179","2128",20212.0995064158
"180","2129",20212.0995064158
"181","2130",19963.9285096237
"182","2131",19963.9285096237
"183","2132",19963.9285096237
"184","2133",19963.9285096237
"185","2134",19963.9285096237
"186","2135",19963.9285096237
"187","2136",19963.9285096237
"188","2137",19963.9285096237
"189","2138",19963.9285096237
"190","2139",19963.9285096237
"191","2140",19715.7575128316
"192","2141",19715.7575128316
"193","2142",19715.7575128316
"194","2143",19715.7575128316
"195","2144",19715.7575128316
"196","2145",19715.7575128316
"197","2146",19715.7575128316
"198","2147",19715.7575128316
"199","2148",19715.7575128316
"200","2149",19715.7575128316
"201","2150",19467.5865160395
"202","2151",19467.5865160395
"203","2152",19467.5865160395
"204","2153",19467.5865160395
"205","2154",19467.5865160395
"206","2155",19467.5865160395
"207","2156",19467.5865160395
"208","2157",19467.5865160395
"209","2158",19467.5865160395
"210","2159",19467.5865160395
"211","2160",19219.4155192474
"212","2161",19219.4155192474
"213","2162",19219.4155192474
"214","2163",19219.4155192474
"215","2164",19219.4155192474
"216","2165",19219.4155192474
