"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11102.4803839867
"72","2021",11102.4803839867
"73","2022",11102.4803839867
"74","2023",11102.4803839867
"75","2024",11102.4803839867
"76","2025",11102.4803839867
"77","2026",11102.4803839867
"78","2027",11102.4803839867
"79","2028",11102.4803839867
"80","2029",11102.4803839867
"81","2030",11224.1115920073
"82","2031",11224.1115920073
"83","2032",11224.1115920073
"84","2033",11224.1115920073
"85","2034",11224.1115920073
"86","2035",11224.1115920073
"87","2036",11224.1115920073
"88","2037",11224.1115920073
"89","2038",11224.1115920073
"90","2039",11224.1115920073
"91","2040",11883.6683673976
"92","2041",11883.6683673976
"93","2042",11883.6683673976
"94","2043",11883.6683673976
"95","2044",11883.6683673976
"96","2045",11883.6683673976
"97","2046",11883.6683673976
"98","2047",11883.6683673976
"99","2048",11883.6683673976
"100","2049",11883.6683673976
"101","2050",12508.3873885579
"102","2051",12508.3873885579
"103","2052",12508.3873885579
"104","2053",12508.3873885579
"105","2054",12508.3873885579
"106","2055",12508.3873885579
"107","2056",12508.3873885579
"108","2057",12508.3873885579
"109","2058",12508.3873885579
"110","2059",12508.3873885579
"111","2060",13189.1660372097
"112","2061",13189.1660372097
"113","2062",13189.1660372097
"114","2063",13189.1660372097
"115","2064",13189.1660372097
"116","2065",13189.1660372097
"117","2066",13189.1660372097
"118","2067",13189.1660372097
"119","2068",13189.1660372097
"120","2069",13189.1660372097
"121","2070",13911.6350841133
"122","2071",13911.6350841133
"123","2072",13911.6350841133
"124","2073",13911.6350841133
"125","2074",13911.6350841133
"126","2075",13911.6350841133
"127","2076",13911.6350841133
"128","2077",13911.6350841133
"129","2078",13911.6350841133
"130","2079",13911.6350841133
"131","2080",14614.6279317
"132","2081",14614.6279317
"133","2082",14614.6279317
"134","2083",14614.6279317
"135","2084",14614.6279317
"136","2085",14614.6279317
"137","2086",14614.6279317
"138","2087",14614.6279317
"139","2088",14614.6279317
"140","2089",14614.6279317
"141","2090",15071.8861606
"142","2091",15071.8861606
"143","2092",15071.8861606
"144","2093",15071.8861606
"145","2094",15071.8861606
"146","2095",15071.8861606
"147","2096",15071.8861606
"148","2097",15071.8861606
"149","2098",15071.8861606
"150","2099",15071.8861606
"151","2100",15110.8694537
"152","2101",15110.8694537
"153","2102",15110.8694537
"154","2103",15110.8694537
"155","2104",15110.8694537
"156","2105",15110.8694537
"157","2106",15110.8694537
"158","2107",15110.8694537
"159","2108",15110.8694537
"160","2109",15110.8694537
"161","2110",14929.7800397661
"162","2111",14929.7800397661
"163","2112",14929.7800397661
"164","2113",14929.7800397661
"165","2114",14929.7800397661
"166","2115",14929.7800397661
"167","2116",14929.7800397661
"168","2117",14929.7800397661
"169","2118",14929.7800397661
"170","2119",14929.7800397661
"171","2120",14748.6906258321
"172","2121",14748.6906258321
"173","2122",14748.6906258321
"174","2123",14748.6906258321
"175","2124",14748.6906258321
"176","2125",14748.6906258321
"177","2126",14748.6906258321
"178","2127",14748.6906258321
"179","2128",14748.6906258321
"180","2129",14748.6906258321
"181","2130",14567.6012118982
"182","2131",14567.6012118982
"183","2132",14567.6012118982
"184","2133",14567.6012118982
"185","2134",14567.6012118982
"186","2135",14567.6012118982
"187","2136",14567.6012118982
"188","2137",14567.6012118982
"189","2138",14567.6012118982
"190","2139",14567.6012118982
"191","2140",14386.5117979643
"192","2141",14386.5117979643
"193","2142",14386.5117979643
"194","2143",14386.5117979643
"195","2144",14386.5117979643
"196","2145",14386.5117979643
"197","2146",14386.5117979643
"198","2147",14386.5117979643
"199","2148",14386.5117979643
"200","2149",14386.5117979643
"201","2150",14205.4223840304
"202","2151",14205.4223840304
"203","2152",14205.4223840304
"204","2153",14205.4223840304
"205","2154",14205.4223840304
"206","2155",14205.4223840304
"207","2156",14205.4223840304
"208","2157",14205.4223840304
"209","2158",14205.4223840304
"210","2159",14205.4223840304
"211","2160",14024.3329700964
"212","2161",14024.3329700964
"213","2162",14024.3329700964
