"","year","emissions"
"1","1950",4378.498714666
"2","1951",4447.580050173
"3","1952",4514.631057479
"4","1953",4585.338771385
"5","1954",4658.918555989
"6","1955",4738.573835594
"7","1956",4819.784587299
"8","1957",4906.311841004
"9","1958",5002.815188009
"10","1959",5106.721646316
"11","1960",5222.367036224
"12","1961",5570.292268934
"13","1962",5779.894617848
"14","1963",5976.276517865
"15","1964",6199.344235184
"16","1965",6465.560236103
"17","1966",6773.507547123
"18","1967",7041.513557943
"19","1968",7256.009223461
"20","1969",7435.615435577
"21","1970",7406.667102286
"22","1971",7327.060018164
"23","1972",7746.900966143
"24","1973",7935.570129016
"25","1974",7909.792366794
"26","1975",8180.647431373
"27","1976",8409.325612562
"28","1977",8640.444044551
"29","1978",8837.869319451
"30","1979",9123.75591774
"31","1980",9227.25850344
"32","1981",9121.12526974
"33","1982",9494.515702535
"34","1983",9530.292752735
"35","1984",9421.164119735
"36","1985",9421.444216635
"37","1986",9620.413269135
"38","1987",9977.11727844
"39","1988",9722.719931646
"40","1989",9842.472009051
"41","1990",9862.303868651
"42","1991",9968.816852048
"43","1992",9990.075746651
"44","1993",9915.093855454
"45","1994",10121.031398151
"46","1995",10218.833691848
"47","1996",10278.763319346
"48","1997",10590.220331843
"49","1998",10128.407161145
"50","1999",9868.586122143
"51","2000",9603.18708684
"52","2001",9722.24731213
"53","2002",9991.772281121
"54","2003",10099.786880807
"55","2004",10354.570880397
"56","2005",10516.570551088
"57","2006",10802.561733786
"58","2007",10363.481326285
"59","2008",10429.681447884
"60","2009",10546.741937483
"61","2010",10539.817000082
"62","2011",10446.428334966
"63","2012",10593.89772836
"64","2013",10759.046875754
"65","2014",10866.283520049
"66","2015",10900
"67","2016",10900
"68","2017",10900
"69","2018",10900
"70","2019",10900
"71","2020",11732.6718285475
"72","2021",11732.6718285475
"73","2022",11732.6718285475
"74","2023",11732.6718285475
"75","2024",11732.6718285475
"76","2025",11732.6718285475
"77","2026",11732.6718285475
"78","2027",11732.6718285475
"79","2028",11732.6718285475
"80","2029",11732.6718285475
"81","2030",12646.7650935487
"82","2031",12646.7650935487
"83","2032",12646.7650935487
"84","2033",12646.7650935487
"85","2034",12646.7650935487
"86","2035",12646.7650935487
"87","2036",12646.7650935487
"88","2037",12646.7650935487
"89","2038",12646.7650935487
"90","2039",12646.7650935487
"91","2040",13379.85962854
"92","2041",13379.85962854
"93","2042",13379.85962854
"94","2043",13379.85962854
"95","2044",13379.85962854
"96","2045",13379.85962854
"97","2046",13379.85962854
"98","2047",13379.85962854
"99","2048",13379.85962854
"100","2049",13379.85962854
"101","2050",9698.29755856354
"102","2051",9698.29755856354
"103","2052",9698.29755856354
"104","2053",9698.29755856354
"105","2054",9698.29755856354
"106","2055",9698.29755856354
"107","2056",9698.29755856354
"108","2057",9698.29755856354
"109","2058",9698.29755856354
"110","2059",9698.29755856354
"111","2060",12211.5107376656
"112","2061",12211.5107376656
"113","2062",12211.5107376656
"114","2063",12211.5107376656
"115","2064",12211.5107376656
"116","2065",12211.5107376656
"117","2066",12211.5107376656
"118","2067",12211.5107376656
"119","2068",12211.5107376656
"120","2069",12211.5107376656
"121","2070",12770.251546665
"122","2071",12770.251546665
"123","2072",12770.251546665
"124","2073",12770.251546665
"125","2074",12770.251546665
"126","2075",12770.251546665
"127","2076",12770.251546665
"128","2077",12770.251546665
"129","2078",12770.251546665
"130","2079",12770.251546665
"131","2080",12335.128
"132","2081",12335.128
"133","2082",12335.128
"134","2083",12335.128
"135","2084",12335.128
"136","2085",12335.128
"137","2086",12335.128
"138","2087",12335.128
"139","2088",12335.128
"140","2089",12335.128
"141","2090",11840.1138
"142","2091",11840.1138
"143","2092",11840.1138
"144","2093",11840.1138
"145","2094",11840.1138
"146","2095",11840.1138
"147","2096",11840.1138
"148","2097",11840.1138
"149","2098",11840.1138
"150","2099",11840.1138
"151","2100",11485.2995
"152","2101",11485.2995
"153","2102",11485.2995
"154","2103",11485.2995
"155","2104",11485.2995
"156","2105",11485.2995
"157","2106",11485.2995
"158","2107",11485.2995
"159","2108",11485.2995
"160","2109",11485.2995
"161","2110",11347.6590973955
"162","2111",11347.6590973955
"163","2112",11347.6590973955
"164","2113",11347.6590973955
"165","2114",11347.6590973955
"166","2115",11347.6590973955
"167","2116",11347.6590973955
"168","2117",11347.6590973955
"169","2118",11347.6590973955
"170","2119",11347.6590973955
"171","2120",11210.0186947911
"172","2121",11210.0186947911
"173","2122",11210.0186947911
"174","2123",11210.0186947911
"175","2124",11210.0186947911
"176","2125",11210.0186947911
"177","2126",11210.0186947911
"178","2127",11210.0186947911
"179","2128",11210.0186947911
"180","2129",11210.0186947911
"181","2130",11072.3782921866
"182","2131",11072.3782921866
"183","2132",11072.3782921866
"184","2133",11072.3782921866
"185","2134",11072.3782921866
"186","2135",11072.3782921866
"187","2136",11072.3782921866
"188","2137",11072.3782921866
"189","2138",11072.3782921866
"190","2139",11072.3782921866
"191","2140",10934.7378895822
"192","2141",10934.7378895822
"193","2142",10934.7378895822
"194","2143",10934.7378895822
"195","2144",10934.7378895822
"196","2145",10934.7378895822
"197","2146",10934.7378895822
"198","2147",10934.7378895822
"199","2148",10934.7378895822
"200","2149",10934.7378895822
"201","2150",10797.0974869777
"202","2151",10797.0974869777
"203","2152",10797.0974869777
"204","2153",10797.0974869777
"205","2154",10797.0974869777
"206","2155",10797.0974869777
"207","2156",10797.0974869777
"208","2157",10797.0974869777
"209","2158",10797.0974869777
"210","2159",10797.0974869777
"211","2160",10659.4570843733
"212","2161",10659.4570843733
"213","2162",10659.4570843733
"214","2163",10659.4570843733
"215","2164",10659.4570843733
"216","2165",10659.4570843733
"217","2166",10659.4570843733
"218","2167",10659.4570843733
