"","year","emissions"
"1","1950",152.201008446252
"2","1951",155.271935165369
"3","1952",160.573357604806
"4","1953",165.681832308174
"5","1954",170.371007918932
"6","1955",174.74044705675
"7","1956",180.671117460758
"8","1957",186.055567738644
"9","1958",188.385539949677
"10","1959",192.686757311104
"11","1960",197.261100475771
"12","1961",205.138341304527
"13","1962",207.212299182616
"14","1963",216.192265589753
"15","1964",216.556162955819
"16","1965",222.666415702745
"17","1966",226.310695802059
"18","1967",232.333146488266
"19","1968",235.335402666216
"20","1969",239.184851612565
"21","1970",244.418395546292
"22","1971",249.28953308379
"23","1972",257.210205426586
"24","1973",260.294724974358
"25","1974",261.808277053765
"26","1975",263.058548645258
"27","1976",269.948209658087
"28","1977",274.030152402707
"29","1978",276.333354462941
"30","1979",281.600065612012
"31","1980",283.346470235154
"32","1981",279.789420716314
"33","1982",287.669315388234
"34","1983",281.617658355317
"35","1984",285.003045167874
"36","1985",285.675269715598
"37","1986",290.808448753962
"38","1987",295.048514693287
"39","1988",298.685495083767
"40","1989",302.164174394028
"41","1990",305.272554652138
"42","1991",318.731192051454
"43","1992",299.401795474459
"44","1993",299.442514065742
"45","1994",310.251836762507
"46","1995",305.409588895629
"47","1996",307.29120752308
"48","1997",331.28891975653
"49","1998",315.332621195414
"50","1999",309.4083708526
"51","2000",310.186809826493
"52","2001",312.896378699807
"53","2002",322.278831247572
"54","2003",328.124224195484
"55","2004",338.94177221491
"56","2005",346.395554623601
"57","2006",356.469689564619
"58","2007",355.02257553638
"59","2008",360.4917104977
"60","2009",364.200363381646
"61","2010",370.896252786586
"62","2011",372.657683178334
"63","2012",380.809766644364
"64","2013",381.594392817586
"65","2014",387.873539205888
"66","2015",388.072795663322
"67","2016",388.072795663322
"68","2017",388.072795663322
"69","2018",388.072795663322
"70","2019",388.072795663322
"71","2020",397.464394299079
"72","2021",397.464394299079
"73","2022",397.464394299079
"74","2023",397.464394299079
"75","2024",397.464394299079
"76","2025",397.464394299079
"77","2026",397.464394299079
"78","2027",397.464394299079
"79","2028",397.464394299079
"80","2029",397.464394299079
"81","2030",454.467560029185
"82","2031",454.467560029185
"83","2032",454.467560029185
"84","2033",454.467560029185
"85","2034",454.467560029185
"86","2035",454.467560029185
"87","2036",454.467560029185
"88","2037",454.467560029185
"89","2038",454.467560029185
"90","2039",454.467560029185
"91","2040",542.29273707973
"92","2041",542.29273707973
"93","2042",542.29273707973
"94","2043",542.29273707973
"95","2044",542.29273707973
"96","2045",542.29273707973
"97","2046",542.29273707973
"98","2047",542.29273707973
"99","2048",542.29273707973
"100","2049",542.29273707973
